StartTime: 2019-04-12 10:05:03.649
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	20105.165	0.0684	0.0269	1.0293	1.2817	0.3662	-1.0986	1.3019	-2.9773	27.1088	36.8800	142	261	83 
0x50	20105.258	0.0708	0.0210	1.0273	3.7231	-0.8545	1.9531	1.5381	-3.2739	27.2296	36.8800	144	258	84 
0x50	20105.368	0.0654	0.0239	1.0400	3.5400	-1.8311	1.8921	1.7908	-3.6420	27.5647	36.8900	142	260	83 
0x50	20105.496	0.0674	0.0303	1.0293	0.5493	-1.5259	0.6714	2.0160	-3.9935	27.6636	36.8800	141	260	83 
0x50	20105.559	0.0884	0.0347	1.0464	1.6479	-0.9155	-1.0376	2.0819	-4.0869	27.5647	36.8800	140	257	84 
0x50	20105.666	0.0786	0.0332	1.0391	-0.5493	-1.3428	0.3052	2.0929	-4.2352	27.6141	36.8900	141	258	83 
0x50	20105.760	0.0781	0.0215	1.0352	-0.3052	-1.5869	0.9155	1.9940	-4.3835	27.5537	36.9000	142	262	85 
0x50	20105.862	0.1104	0.0317	1.0391	0.1831	1.0986	-1.5869	2.0654	-4.4055	27.5812	36.8800	140	257	90 
0x50	20105.971	0.0771	0.0210	1.0293	-3.5400	-0.1221	10.5591	1.7358	-4.4440	27.9437	36.8900	139	261	89 
0x50	20106.072	0.0615	0.0171	1.0391	4.6997	1.8921	0.6104	1.6150	-4.4495	28.5809	36.8800	140	259	85 
0x50	20106.165	0.0508	0.0200	1.1006	-4.1504	-15.9912	2.8076	2.0270	-4.5648	28.5919	36.8900	143	259	82 
0x50	20106.269	0.1392	0.0386	0.9839	-6.2256	8.9111	0.3662	0.9888	-5.1361	28.4052	36.9000	140	261	84 
0x50	20106.362	0.0435	-0.0054	1.0859	14.7705	-8.0566	13.0005	1.9666	-5.3613	28.9050	36.9100	140	259	85 
0x50	20106.472	0.1719	0.1025	1.0645	0.3662	-3.1128	-6.2866	2.6971	-4.2297	29.1138	36.9000	144	260	81 
0x50	20106.565	0.0918	0.0278	1.0049	-22.3999	11.7798	8.9722	1.6425	-3.6804	29.5972	36.9000	144	260	78 
0x50	20106.672	0.0889	-0.0576	1.0010	-9.9487	14.7705	25.4517	-0.2747	-2.4335	31.1737	36.9100	151	262	77 
0x50	20106.761	0.0420	-0.0361	1.0161	5.4932	11.8408	4.8218	-0.7306	-0.7361	32.6349	36.9100	158	268	67 
0x50	20106.865	0.0000	0.0117	1.0698	6.5308	1.5869	16.6016	0.4449	-0.1758	33.7885	36.9200	165	273	54 
0x50	20106.958	0.0122	0.0137	1.0249	-0.1831	-6.8970	27.8320	0.3845	-0.3076	35.7880	36.9100	164	270	58 
0x50	20107.065	0.0420	0.0122	1.0420	1.4038	-11.8408	28.5034	0.7251	-1.8237	38.3478	36.9400	166	274	54 
0x50	20107.158	0.0430	0.0063	1.0410	0.5493	-3.3569	29.2969	0.6482	-2.2467	40.7977	36.9300	173	278	51 
0x50	20107.268	0.0449	0.0234	1.0107	-1.3428	-2.9297	22.2168	0.5438	-2.7576	42.7863	36.9200	178	277	47 
0x50	20107.361	0.0415	0.0303	1.0576	11.7188	2.0752	35.4614	1.0107	-2.6807	45.0165	36.9200	182	280	51 
0x50	20107.463	0.0073	0.0625	1.0449	-0.9766	6.5308	30.8838	1.2140	-2.1863	47.6038	36.9100	187	279	45 
0x50	20107.557	0.0342	0.0356	1.0283	7.0190	-0.7935	15.9912	1.5546	-1.7194	48.8177	36.9100	197	276	41 
0x50	20107.668	0.0479	0.0239	1.0581	-3.6621	-4.8828	32.0435	1.6425	-2.0929	50.3119	36.9200	203	277	44 
0x50	20107.762	-0.0449	0.0864	0.9702	-3.7231	0.8545	25.6958	0.6702	-2.0544	53.1299	36.9200	213	277	37 
0x50	20107.862	0.0054	0.0625	1.0493	8.8501	-3.5400	5.2490	1.5491	-2.3785	53.2617	36.9200	214	277	36 
0x50	20107.972	0.0459	0.0244	1.0591	-3.9063	-3.6621	20.2026	1.7688	-2.8290	53.3716	36.9300	212	277	34 
0x50	20108.065	-0.0107	0.0615	0.9756	-9.7656	0.4272	16.7847	0.7526	-2.8894	54.8438	36.9300	215	276	28 
0x50	20108.159	0.0391	-0.0034	1.0591	2.1362	-5.3711	-3.9063	0.7690	-3.3783	54.1791	36.9300	219	280	29 
0x50	20108.257	0.0791	-0.0137	1.0391	-5.1270	3.7842	8.4229	0.3735	-3.0927	53.1958	36.9400	216	280	26 
0x50	20108.366	0.0630	-0.0151	1.0254	-5.1880	1.0986	18.8599	-0.3076	-2.7905	54.2615	36.9200	221	282	25 
0x50	20108.466	0.0337	-0.0278	1.0122	3.2959	-8.3008	0.0610	-0.3131	-3.2629	54.4098	36.9300	226	281	21 
0x50	20108.559	0.0488	-0.0078	1.0459	-8.4839	7.9956	0.6714	-0.3735	-3.2355	54.0417	36.9200	224	284	18 
0x50	20108.669	0.0371	-0.0303	1.0952	0.7324	8.4839	-0.2441	-0.5054	-2.4664	53.1628	36.9600	226	282	14 
0x50	20108.762	-0.0049	0.0806	1.0586	-1.3428	18.6157	-0.7324	-1.0217	-0.5933	52.1246	36.9400	231	284	12 
0x50	20108.863	0.0205	-0.0044	1.0361	5.9814	7.8125	-4.7607	-0.3241	0.7855	50.4272	36.9400	236	286	16 
0x50	20108.957	-0.0186	-0.0044	0.9844	11.8408	-1.1597	-19.0430	0.4999	1.6919	48.7848	36.9300	238	281	19 
0x50	20109.058	-0.0361	0.0103	1.0811	6.5308	2.2583	-33.8135	1.0052	1.8951	45.2692	36.9500	233	281	24 
0x50	20109.167	-0.0200	0.0098	1.0322	-0.6104	-10.1318	-30.7007	0.9998	1.9940	41.4844	36.9600	226	279	36 
0x50	20109.267	0.0083	0.0063	1.0000	-3.7231	-19.2261	-42.9688	0.7526	0.7306	37.6996	36.9400	217	282	41 
0x50	20109.361	0.0068	0.0156	1.0142	-5.2490	-4.2114	-38.0859	0.5109	-0.5109	33.6511	36.9500	202	278	49 
0x50	20109.470	-0.0117	0.0571	1.0005	-8.9722	2.8687	-48.2178	0.0604	-0.5383	29.7620	36.9400	194	282	61 
