StartTime: 2019-04-12 10:05:03.649
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	24542.545	-0.0342	0.0039	1.0488	0.0000	-1.0376	-0.6104	0.4614	1.7963	51.4655	33.1300	220	178	96 
0x50	24542.645	-0.0332	-0.0024	1.0313	0.1831	-0.4272	-0.5493	0.4065	1.7523	51.4819	33.1200	218	175	95 
0x50	24542.745	-0.0405	0.0093	1.0562	2.3193	1.6479	-0.1831	0.5768	1.7578	51.5479	33.1100	223	173	96 
0x50	24542.879	-0.0381	-0.0005	1.0508	-3.3569	0.9155	0.3662	0.5988	1.8622	51.5863	33.1100	221	176	97 
0x50	24542.944	-0.0347	-0.0044	1.0161	-0.9766	0.7935	1.1597	0.2856	1.7688	51.5973	33.1100	223	177	100 
0x50	24543.070	-0.0190	0.0063	1.0498	2.3193	0.4883	0.3052	0.4230	1.8677	51.5973	33.1300	221	178	100 
0x50	24543.144	-0.0283	0.0068	1.0522	-1.7090	0.7324	0.6104	0.4724	1.8787	51.6138	33.1300	221	176	98 
0x50	24543.261	-0.0200	0.0059	1.0244	-1.8921	0.1221	-0.2441	0.2692	1.8512	51.5808	33.1500	220	176	97 
0x50	24543.344	-0.0259	0.0054	1.0313	2.8076	1.3428	1.1597	0.3461	1.8567	51.6193	33.1400	224	176	95 
0x50	24543.444	-0.0371	0.0068	1.0488	0.0610	0.1831	0.0610	0.5328	1.9171	51.6962	33.1400	222	176	97 
0x50	24543.544	-0.0210	0.0063	1.0273	-1.2207	-1.2817	0.3052	0.4065	1.8512	51.6632	33.1600	221	177	96 
0x50	24543.644	-0.0200	0.0137	1.0327	1.8311	0.4883	-0.3662	0.4340	1.8842	51.6797	33.1600	221	176	96 
0x50	24543.743	-0.0186	0.0146	1.0737	2.4414	0.4272	-0.4883	0.7526	1.9611	51.7126	33.1700	219	179	96 
0x50	24543.872	-0.0264	0.0151	1.0425	-4.4556	-1.4648	-1.2207	0.5273	1.8237	51.7017	33.1500	217	177	96 
0x50	24543.943	-0.0195	0.0010	1.0068	4.9438	2.9297	-0.1831	0.3900	1.8896	51.6522	33.1800	222	176	95 
0x50	24544.045	-0.0273	0.0171	1.0742	1.2817	-0.2441	1.0376	0.8954	1.9995	51.7072	33.1700	220	177	98 
0x50	24544.142	-0.0396	0.0078	1.0283	-4.3335	-0.3662	-0.1831	0.6262	1.9116	51.7676	33.1900	219	171	96 
0x50	24544.234	-0.0103	0.0088	1.0303	2.2583	1.4648	0.4272	0.5328	1.8842	51.6797	33.2000	221	177	93 
0x50	24544.327	-0.0303	0.0156	1.0596	-0.8545	0.9155	1.4038	0.8075	1.9446	51.7401	33.2000	220	174	99 
0x50	24544.430	-0.0195	0.0146	1.0327	-2.2583	0.2441	0.3052	0.6097	1.9116	51.7621	33.2000	222	177	98 
0x50	24544.542	-0.0210	0.0127	1.0244	1.8311	1.5869	0.9155	0.6152	1.9446	51.7456	33.1900	219	175	92 
0x50	24544.628	-0.0273	0.0181	1.0479	-0.1221	1.0376	0.4883	0.7965	2.0050	51.7786	33.2100	220	174	95 
0x50	24544.737	-0.0239	0.0137	1.0269	-0.3662	0.7935	0.5493	0.7416	1.9556	51.7950	33.2100	221	171	96 
0x50	24544.839	-0.0259	0.0156	1.0469	1.7090	0.3052	1.1597	0.8789	1.9830	51.8225	33.2200	218	177	97 
0x50	24544.940	-0.0264	0.0190	1.0322	-1.0986	0.4883	0.2441	0.8954	1.9830	51.8774	33.2300	218	172	97 
0x50	24545.041	-0.0308	0.0137	1.0366	-0.3052	0.5493	-0.3052	0.8844	1.9775	51.8994	33.2400	221	173	97 
0x50	24545.134	-0.0215	0.0176	1.0405	-1.4038	0.3052	-0.1221	0.8569	1.9336	51.8994	33.2400	218	174	98 
0x50	24545.241	-0.0239	0.0166	1.0332	0.6104	0.5493	0.3052	0.8459	1.9171	51.9159	33.2500	219	174	96 
0x50	24545.329	-0.0303	0.0151	1.0503	0.6104	1.0376	0.4272	0.9778	1.9446	51.9324	33.2400	216	174	100 
0x50	24545.441	-0.0073	0.0200	1.0322	-2.3804	0.0000	0.2441	0.8569	1.9116	51.8774	33.2500	217	175	98 
0x50	24545.540	-0.0210	0.0229	1.0439	3.0518	2.1973	0.3662	0.9833	1.9556	51.9104	33.2800	223	176	97 
0x50	24545.633	-0.0166	0.0254	1.0449	-0.4272	-0.2441	0.3662	1.0876	1.9556	51.9324	33.2600	219	173	97 
0x50	24545.758	-0.0171	0.0229	1.0327	-0.8545	0.6104	-0.3662	1.0052	1.9611	51.9543	33.2800	217	168	95 
0x50	24545.834	-0.0132	0.0249	1.0415	0.7324	0.4272	-0.7935	1.0272	1.9775	51.9983	33.3000	219	171	96 
0x50	24545.928	-0.0220	0.0225	1.0391	-0.6104	0.0610	-0.9155	1.0162	1.9501	52.0258	33.2800	214	170	97 
0x50	24546.034	-0.0234	0.0186	1.0337	-1.4648	-0.1221	-0.6714	0.9229	1.9171	52.0422	33.3100	217	171	96 
0x50	24546.127	-0.0283	0.0151	1.0347	0.4272	1.0986	-0.4883	0.8954	1.9061	52.0477	33.3000	220	173	94 
0x50	24546.237	-0.0332	0.0156	1.0488	1.1597	-0.1831	0.1221	1.0327	1.9611	52.0862	33.3000	220	173	97 
0x50	24546.346	-0.0317	0.0171	1.0420	-0.5493	-0.4272	-0.9155	0.9888	1.9830	52.0807	33.3100	219	174	98 
0x50	24546.439	-0.0249	0.0146	1.0205	1.2817	1.5869	0.4883	0.9503	1.9611	52.0697	33.3100	216	170	97 
0x50	24546.538	-0.0264	0.0225	1.0596	1.0376	0.7935	-0.7935	1.2140	2.0929	52.1191	33.3000	218	170	98 
0x50	24546.638	-0.0396	0.0171	1.0591	-0.3662	0.3052	0.0000	1.2085	2.0325	52.1466	33.3300	218	173	100 
0x50	24546.750	-0.0269	0.0112	1.0210	-7.5684	-2.9907	-0.9155	0.6976	1.8951	52.0917	33.3300	218	172	98 
0x50	24546.838	-0.0244	0.0117	1.0269	7.0190	3.2349	0.4883	0.7471	1.8951	52.0807	33.3300	220	175	95 
0x50	24546.928	-0.0435	0.0151	1.0801	-2.7466	-0.4272	0.0000	1.1316	1.9830	52.1631	33.3500	219	173	98 
0x50	24547.038	-0.0288	0.0103	1.0195	-3.0518	-0.4272	-0.8545	0.6592	1.8732	52.0642	33.3300	218	174	97 
0x50	24547.131	-0.0215	0.0049	1.0386	2.1973	0.0610	0.4272	0.6427	1.8127	52.0148	33.3700	215	175	100 
0x50	24547.225	-0.0361	0.0142	1.0313	-1.6479	-0.6714	-0.2441	0.6592	1.7468	52.0422	33.3300	219	175	97 
0x50	24547.350	-0.0049	0.0146	1.0596	-2.1973	-0.4272	-0.9766	0.6097	1.6754	51.9214	33.3700	217	175	96 
0x50	24547.434	-0.0195	0.0024	1.0288	-4.2114	-3.6621	-0.0610	0.0879	1.4172	51.9104	33.3700	222	176	99 
0x50	24547.545	-0.0029	-0.0024	1.0195	0.0610	-0.6104	-0.2441	-0.1868	1.1975	51.8719	33.3700	221	177	97 
0x50	24547.634	-0.0264	-0.0088	1.0615	1.8921	0.5493	1.1597	0.0659	1.2579	51.8665	33.3800	220	181	98 
0x50	24547.759	-0.0112	-0.0049	1.0239	-5.9814	-3.6621	0.0000	-0.2966	1.0547	51.7786	33.3700	223	181	96 
0x50	24547.837	-0.0015	-0.0083	1.0186	1.8921	0.0610	-0.6104	-0.5109	0.9723	51.6632	33.3900	222	182	97 
0x50	24547.931	-0.0039	-0.0088	1.0308	3.1128	-0.3662	0.3662	-0.2911	1.0217	51.6028	33.3700	220	179	98 
0x50	24548.032	-0.0225	0.0063	1.0781	2.9907	0.1831	0.1221	0.1044	1.0602	51.6522	33.3900	221	176	96 
0x50	24548.126	0.0010	-0.0005	1.0308	-4.7607	-0.6714	-1.4038	-0.1648	1.0162	51.5643	33.3900	219	177	95 
0x50	24548.236	-0.0107	-0.0117	1.0054	2.8687	1.7090	0.1831	-0.3021	0.9778	51.5753	33.4100	223	177	98 
0x50	24548.336	-0.0273	0.0054	1.0713	4.5776	1.6479	-0.1831	0.2747	1.1481	51.6302	33.4000	218	177	98 
0x50	24548.436	-0.0186	-0.0010	1.0435	-6.2866	-1.1597	-1.3428	0.1593	1.1591	51.5753	33.4100	219	176	98 
0x50	24548.526	-0.0176	-0.0161	0.9937	0.7935	0.1831	1.4038	-0.2362	0.9888	51.5314	33.4200	219	176	98 
0x50	24548.635	-0.0254	-0.0068	1.0425	0.9155	-1.1597	0.7324	0.0439	1.0272	51.6083	33.4300	219	176	98 
0x50	24548.729	0.0122	0.0083	1.0361	-1.0376	-5.0659	-0.4883	0.0000	0.7141	51.5204	33.4200	217	178	96 
0x50	24548.823	0.0083	0.0132	1.0601	2.6245	2.7466	1.7090	0.1923	0.5164	51.6028	33.4400	217	174	94 
0x50	24548.948	-0.0117	0.0068	1.0469	-3.7842	-1.1597	0.0610	0.1263	0.5603	51.6632	33.4400	216	175	94 
0x50	24549.034	0.0054	-0.0024	1.0347	-0.4883	2.3804	-0.2441	-0.0604	0.5878	51.5588	33.4400	215	175	98 
0x50	24549.143	-0.0078	-0.0010	1.0400	-1.2207	3.4790	-0.4272	-0.0439	0.8075	51.5149	33.4300	218	176	97 
0x50	24549.234	-0.0098	-0.0054	1.0161	-3.2959	-0.5493	-1.8311	-0.2197	0.8679	51.4380	33.4600	216	177	94 
0x50	24549.334	0.0015	0.0010	1.0396	4.5166	2.8076	-0.9766	-0.0604	0.8185	51.2952	33.4700	220	179	95 
0x50	24549.434	-0.0269	0.0059	1.0840	-0.3052	0.7935	-0.2441	0.3351	0.9943	51.3446	33.4600	220	177	95 
0x50	24549.534	-0.0044	-0.0010	1.0317	-2.6855	-1.2817	-0.9155	-0.0165	0.9338	51.2402	33.4700	222	178	91 
0x50	24549.634	0.0000	-0.0039	1.0386	3.6011	1.7090	1.7700	-0.0055	0.9613	51.2402	33.4600	219	178	96 
0x50	24549.734	-0.0278	-0.0034	1.0493	-1.1597	-0.3052	0.1221	0.1373	1.1041	51.4105	33.4500	219	175	96 
0x50	24549.834	0.0020	0.0020	1.0298	2.8687	0.1221	-2.0142	0.0769	1.0602	51.2787	33.4600	218	175	99 
0x50	24549.936	0.0132	0.0151	1.0640	2.8687	0.5493	-0.4272	0.3516	1.0602	51.1743	33.4700	218	178	97 
0x50	24550.034	-0.0190	0.0098	1.0464	-1.0986	1.5259	-0.1831	0.4285	1.1700	51.2732	33.4900	221	174	97 
0x50	24550.136	-0.0166	0.0024	1.0376	0.0610	1.6479	-0.9766	0.3680	1.2085	51.2567	33.4900	220	177	97 
0x50	24550.233	-0.0244	-0.0005	1.0293	-1.4038	1.6479	-0.0610	0.3076	1.2579	51.2567	33.4800	219	175	94 
0x50	24550.335	-0.0195	-0.0024	1.0396	-1.9531	0.1831	-0.1221	0.2747	1.2689	51.2512	33.5000	217	173	96 
0x50	24550.432	-0.0181	0.0015	1.0400	0.9766	1.3428	0.7935	0.2911	1.2085	51.2677	33.5000	219	178	99 
0x50	24550.534	-0.0225	0.0117	1.0601	0.4883	1.2817	0.6714	0.4999	1.2744	51.3171	33.5100	218	177	97 
0x50	24550.633	-0.0249	-0.0010	1.0342	-3.6621	-0.6714	-0.1831	0.2802	1.2360	51.2897	33.4900	220	176	97 
0x50	24550.735	-0.0063	0.0029	1.0332	0.9766	0.9155	-0.1831	0.1373	1.2360	51.2128	33.5000	222	177	97 
0x50	24550.832	-0.0073	0.0015	1.0313	5.0659	-0.3662	1.6479	0.3241	1.2634	51.2677	33.5100	221	175	98 
0x50	24550.932	-0.0151	0.0142	1.0620	-0.0610	-1.4038	-0.0610	0.4944	1.3239	51.3831	33.5300	222	175	98 
0x50	24551.030	-0.0127	0.0010	1.0186	-3.2959	-0.3052	-0.6714	0.1263	1.1810	51.3501	33.5200	221	177	95 
0x50	24551.123	0.0000	0.0034	1.0386	3.8452	1.8921	0.6714	0.1868	1.2689	51.3171	33.5300	222	181	96 
0x50	24551.217	-0.0205	0.0083	1.0522	-3.7231	-0.0610	0.0000	0.2856	1.2854	51.3666	33.5400	220	177	96 
0x50	24551.319	-0.0225	-0.0049	1.0161	-2.6245	0.8545	-0.6104	-0.0110	1.2140	51.3721	33.5400	221	173	96 
0x50	24551.431	-0.0142	-0.0015	1.0464	1.7090	1.1597	0.0000	0.1263	1.2964	51.3501	33.5300	220	179	95 
