+StartTime: 2019-04-12 10:07:16.616
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	24413.869	-0.0122	0.0820	1.0420	2.1973	-5.7373	0.9155	4.3011	0.7910	138.7244	34.9300	154	-167	54 
0x50	24413.977	0.0054	0.0854	1.0508	-0.5493	2.5024	0.6104	4.3671	0.4395	138.7738	34.9200	155	-167	54 
0x50	24414.055	-0.0088	0.0830	1.0337	-0.6104	3.6621	-0.1221	4.2847	0.8514	138.7189	34.9300	155	-166	57 
0x50	24414.195	-0.0171	0.0757	1.0479	-0.4883	-1.2207	1.0376	4.2242	0.9119	138.6859	34.9400	157	-168	52 
0x50	24414.258	-0.0039	0.0850	1.0537	-1.1597	0.9155	0.4883	4.1528	0.8734	138.7354	34.9400	155	-169	53 
0x50	24414.367	-0.0249	0.0713	1.0405	-0.9155	2.9297	-0.1221	4.0704	0.9448	138.6365	34.9500	154	-168	56 
0x50	24414.466	-0.0200	0.0762	1.0391	-3.8452	5.1270	0.5493	3.8562	1.4447	138.7189	34.9800	156	-170	53 
0x50	24414.561	-0.0361	0.0649	1.0571	-1.0376	0.0000	0.4272	3.6420	1.7084	138.6804	34.9700	156	-169	53 
0x50	24414.667	-0.0234	0.0713	1.0356	0.1831	-1.7090	1.8921	3.6859	1.4996	138.7024	34.9900	155	-169	51 
0x50	24414.776	-0.0225	0.0635	1.0459	-3.7842	5.2490	0.6714	3.4991	1.8127	138.6969	34.9700	156	-167	51 
0x50	24414.854	-0.0381	0.0659	1.0308	-0.1831	-0.8545	-0.1221	3.4113	2.0325	138.6475	34.9900	157	-167	50 
0x50	24414.995	-0.0356	0.0615	1.0420	-1.0376	-3.1738	0.9766	3.4442	1.8292	138.5596	35.0100	157	-168	52 
0x50	24415.065	-0.0103	0.0703	1.0562	-0.5493	-2.3804	0.7935	3.4442	1.4612	138.6365	35.0100	151	-170	52 
0x50	24415.158	-0.0347	0.0596	1.0454	-0.8545	4.4556	-0.6104	3.4058	1.6699	138.6090	35.0000	154	-168	55 
0x50	24415.267	-0.0313	0.0659	1.0342	1.1597	-2.0752	0.8545	3.3893	1.8073	138.7079	35.0200	152	-173	56 
0x50	24415.353	-0.0107	0.0742	1.0562	1.0376	-4.0283	0.0610	3.5101	1.2744	138.8177	35.0200	150	-169	56 
0x50	24415.467	-0.0190	0.0703	1.0410	-0.9766	5.1270	-0.4883	3.5321	1.3568	138.8123	35.0200	150	-168	55 
0x50	24415.558	-0.0283	0.0664	1.0415	0.1221	-0.6104	1.9531	3.4058	1.7358	138.8672	35.0600	153	-173	53 
0x50	24415.652	-0.0234	0.0737	1.0381	-1.2817	-1.7700	1.4648	3.4332	1.4996	138.9716	35.0500	154	-172	53 
0x50	24415.761	-0.0347	0.0518	1.0620	-5.6152	0.6714	0.1831	3.1036	1.5161	138.9771	35.0500	149	-172	53 
0x50	24415.855	-0.0269	0.0552	1.0586	2.6245	-2.1362	2.0752	2.8674	1.3513	139.1583	35.0700	141	-168	54 
0x50	24415.965	-0.0186	0.0659	1.0518	-1.1597	3.3569	0.7935	2.9333	1.3843	139.3890	35.0500	145	-171	56 
0x50	24416.066	-0.0356	0.0527	1.0581	2.0142	0.1831	0.2441	2.9608	1.5765	139.4330	35.0600	146	-171	51 
0x50	24416.160	-0.0298	0.0645	1.0225	3.5400	1.1597	0.4272	3.2080	1.5710	139.4989	35.0700	148	-172	51 
0x50	24416.266	-0.0283	0.0679	1.0107	-0.3052	2.6245	-0.9766	3.3014	1.7194	139.4879	35.0800	151	-168	52 
0x50	24416.366	-0.0303	0.0581	1.0483	2.0142	-3.9063	-0.2441	3.2190	1.5875	139.3616	35.1100	151	-169	52 
0x50	24416.466	-0.0073	0.0708	1.0405	0.7324	0.0000	0.6714	3.3838	1.2360	139.3890	35.0900	150	-167	52 
0x50	24416.565	-0.0283	0.0601	1.0586	-1.2817	2.9297	-0.1831	3.3508	1.5381	139.3396	35.1100	153	-169	53 
0x50	24416.665	-0.0317	0.0581	1.0532	1.1597	-2.7466	2.1362	3.3948	1.5656	139.3121	35.1100	156	-167	52 
0x50	24416.787	-0.0225	0.0757	1.0386	-0.4272	1.1597	0.7324	3.5431	1.4117	139.4220	35.1200	153	-164	53 
0x50	24416.866	-0.0361	0.0654	1.0562	-1.0986	-2.1362	-1.7700	3.4827	1.4282	139.2627	35.1300	153	-168	52 
0x50	24416.965	-0.0317	0.0581	1.0825	0.0000	-1.7700	0.3052	3.4442	1.2085	139.1418	35.1300	152	-171	51 
0x50	24417.065	-0.0122	0.0718	1.0405	1.2817	0.9766	0.5493	3.5651	1.1206	139.2297	35.1500	152	-169	51 
0x50	24417.166	-0.0176	0.0659	1.0454	1.2207	0.5493	-0.3662	3.5980	1.1536	139.2023	35.1600	154	-167	52 
0x50	24417.265	-0.0171	0.0737	1.0503	1.1597	1.0986	0.7324	3.6530	1.2195	139.1913	35.1700	154	-171	52 
0x50	24417.394	-0.0171	0.0684	1.0347	0.0610	1.4648	0.4883	3.6694	1.2689	139.2023	35.1700	154	-172	52 
0x50	24417.465	-0.0181	0.0688	1.0444	1.0376	-1.2207	1.6479	3.6090	1.2524	139.2407	35.1800	152	-170	52 
0x50	24417.565	-0.0063	0.0732	1.0410	0.9155	0.0000	1.2817	3.6584	1.0657	139.2902	35.1800	151	-170	48 
0x50	24417.664	-0.0186	0.0713	1.0405	-0.4883	3.5400	0.6104	3.6310	1.2634	139.2902	35.1800	152	-168	51 
0x50	24417.764	-0.0278	0.0659	1.0381	0.1831	-0.5493	0.4272	3.6310	1.4117	139.2133	35.1800	152	-168	52 
0x50	24417.864	-0.0239	0.0635	1.0366	-0.3662	-3.9673	1.9531	3.6749	1.2250	139.2078	35.2000	152	-168	52 
0x50	24417.964	-0.0112	0.0684	1.0386	-2.0752	1.0986	0.4883	3.7244	1.0767	139.2737	35.2200	152	-169	52 
0x50	24418.062	-0.0215	0.0684	1.0542	-0.6714	3.1128	0.0000	3.6035	1.4117	139.2352	35.1900	155	-166	54 
0x50	24418.156	-0.0342	0.0649	1.0396	1.1597	-2.6245	1.4648	3.6914	1.3843	139.1309	35.2200	158	-168	52 
0x50	24418.250	-0.0156	0.0732	1.0405	0.0610	2.8687	0.8545	3.7024	1.3019	139.1803	35.2300	155	-169	51 
0x50	24418.352	-0.0205	0.0688	1.0322	0.7324	1.5869	0.0610	3.6365	1.5601	139.1254	35.2500	156	-166	53 
0x50	24418.478	-0.0220	0.0698	1.0239	1.0376	-1.3428	0.6104	3.7134	1.4447	139.0375	35.2400	154	-163	52 
0x50	24418.563	-0.0117	0.0728	1.0410	0.3662	0.6104	1.1597	3.6859	1.3953	138.9990	35.2600	156	-165	48 
0x50	24418.673	-0.0166	0.0728	1.0317	0.0000	0.5493	0.1221	3.7079	1.4117	138.9606	35.2400	155	-168	52 
0x50	24418.749	-0.0244	0.0654	1.0298	-0.3052	-0.5493	0.6104	3.7244	1.4117	138.8837	35.2600	155	-165	50 
0x50	24418.858	-0.0112	0.0713	1.0415	-0.7935	0.0610	0.3052	3.6914	1.4172	138.8947	35.2600	156	-172	47 
0x50	24418.952	-0.0176	0.0698	1.0396	-0.0610	-0.5493	0.2441	3.7189	1.3678	138.9001	35.2800	156	-169	53 
0x50	24419.062	-0.0190	0.0688	1.0342	-0.8545	0.9766	0.6104	3.7189	1.3733	138.8727	35.2800	156	-168	48 
0x50	24419.159	-0.0142	0.0737	1.0547	0.7935	-1.6479	0.9766	3.6694	1.3403	138.8782	35.3000	155	-169	51 
0x50	24419.267	-0.0210	0.0703	1.0449	-0.6104	1.0986	0.1221	3.7299	1.2305	138.8397	35.3100	155	-167	50 
0x50	24419.360	-0.0234	0.0737	1.0449	0.5493	0.0000	0.3662	3.6694	1.3788	138.8232	35.3000	155	-167	49 
0x50	24419.454	-0.0239	0.0703	1.0488	0.3052	-0.7324	0.3052	3.6859	1.2579	138.7903	35.2900	156	-169	53 
0x50	24419.548	-0.0205	0.0679	1.0459	-0.1831	1.3428	0.4883	3.6420	1.2689	138.8013	35.3300	155	-171	50 
0x50	24419.663	-0.0156	0.0723	1.0337	0.9155	-0.0610	0.2441	3.6584	1.2634	138.8507	35.3200	155	-170	51 
0x50	24419.758	-0.0146	0.0693	1.0371	0.3662	0.7324	1.0986	3.6475	1.2469	138.8452	35.3200	151	-166	50 
0x50	24419.862	-0.0127	0.0723	1.0293	-0.1831	1.7700	0.7935	3.6475	1.3513	138.8617	35.3300	153	-169	53 
0x50	24419.952	-0.0220	0.0669	1.0405	0.6104	-0.4883	0.9155	3.6310	1.4337	138.8507	35.3400	150	-168	49 
0x50	24420.067	-0.0210	0.0718	1.0435	0.1831	0.6714	1.0986	3.6969	1.3568	138.8507	35.3400	154	-169	51 
0x50	24420.147	-0.0225	0.0698	1.0352	0.7324	1.2817	0.3662	3.6914	1.4832	138.8287	35.3500	158	-171	51 
0x50	24420.287	-0.0244	0.0703	1.0444	0.8545	-1.1597	1.1597	3.7354	1.4392	138.8068	35.3500	155	-166	50 
0x50	24420.350	-0.0186	0.0713	1.0425	-1.1597	1.7090	0.0610	3.7958	1.4172	138.7903	35.3700	155	-167	52 
0x50	24420.459	-0.0298	0.0679	1.0396	-0.3052	1.5259	-0.4883	3.7463	1.6479	138.7079	35.3700	155	-165	53 
0x50	24420.553	-0.0273	0.0713	1.0444	0.0000	-1.7700	0.2441	3.8013	1.6040	138.6859	35.3800	154	-167	52 
0x50	24420.667	-0.0234	0.0708	1.0420	-1.5869	0.0610	0.1831	3.8287	1.5601	138.6859	35.3900	156	-168	50 
0x50	24420.760	-0.0244	0.0732	1.0493	-0.1221	-0.0610	-0.1831	3.8342	1.5546	138.6694	35.4000	159	-169	49 
0x50	24420.885	-0.0283	0.0713	1.0537	-0.3052	-0.1831	0.0610	3.8342	1.5546	138.5980	35.4000	157	-166	50 
0x50	24420.948	-0.0269	0.0752	1.0532	0.0000	-0.7935	0.6714	3.8837	1.4777	138.5760	35.3900	158	-165	53 
0x50	24421.060	-0.0352	0.0728	1.0562	0.0000	0.8545	0.0000	3.8837	1.4941	138.4882	35.4200	158	-164	52 
0x50	24421.148	-0.0288	0.0723	1.0439	1.0986	0.1221	1.0376	3.8892	1.4886	138.4607	35.4200	156	-166	51 
0x50	24421.266	-0.0259	0.0767	1.0332	0.3052	0.6104	-0.5493	3.9551	1.4722	138.4607	35.4300	155	-167	47 
0x50	24421.352	-0.0278	0.0732	1.0449	0.3662	1.0986	0.6104	3.9386	1.5381	138.4607	35.4300	157	-167	50 
0x50	24421.447	-0.0205	0.0752	1.0313	0.6714	0.3052	0.7324	3.9716	1.5491	138.4442	35.4300	158	-166	46 
0x50	24421.560	-0.0229	0.0742	1.0337	0.5493	0.6104	1.4648	3.9771	1.5656	138.3618	35.4400	160	-164	49 
0x50	24421.645	-0.0234	0.0791	1.0352	0.1221	1.1597	0.6104	3.9825	1.6260	138.3344	35.4400	160	-167	52 
0x50	24421.746	-0.0269	0.0708	1.0386	-0.6714	0.5493	0.9155	3.9496	1.7084	138.2684	35.4400	159	-167	49 
0x50	24421.855	-0.0234	0.0762	1.0342	-0.1831	-0.6104	0.9155	3.9606	1.6919	138.2300	35.4600	162	-165	51 
0x50	24421.949	-0.0254	0.0737	1.0459	-0.4272	0.7935	0.1831	3.9331	1.6809	138.1476	35.4500	161	-166	48 
0x50	24422.073	-0.0273	0.0752	1.0415	-0.0610	0.3052	0.1831	3.9331	1.7578	138.1036	35.4600	158	-165	48 
0x50	24422.155	-0.0313	0.0742	1.0435	-0.3052	-1.3428	0.5493	3.9661	1.6974	138.0597	35.4600	159	-166	47 
0x50	24422.250	-0.0249	0.0771	1.0444	-0.7324	0.3052	0.1221	3.9661	1.6425	138.0322	35.4700	158	-164	48 
0x50	24422.344	-0.0259	0.0781	1.0391	0.2441	0.7935	0.4883	3.9551	1.7139	138.0048	35.4900	156	-167	49 
0x50	24422.453	-0.0293	0.0718	1.0444	-0.3052	-0.0610	1.1597	3.9496	1.7303	137.9663	35.4900	161	-166	50 
0x50	24422.547	-0.0210	0.0786	1.0376	0.4883	0.4272	0.5493	3.9606	1.7139	137.9718	35.4900	160	-169	50 
0x50	24422.659	-0.0225	0.0742	1.0342	-0.6104	0.4272	0.6104	3.9386	1.7413	137.9553	35.5100	158	-168	50 
0x50	24422.758	-0.0200	0.0742	1.0415	0.1221	-1.7090	0.9766	3.9166	1.6479	137.9059	35.5000	160	-165	50 
0x50	24422.875	-0.0190	0.0747	1.0249	0.4883	-0.3662	0.7324	3.9771	1.4667	137.8729	35.5100	158	-166	52 
0x50	24422.953	-0.0195	0.0742	1.0386	0.1221	-1.0376	0.9155	3.9661	1.4447	137.8564	35.5200	157	-168	51 
0x50	24423.046	-0.0205	0.0732	1.0332	-0.1831	-0.7324	0.7935	3.9935	1.3074	137.8619	35.5100	161	-166	49 
